"shapeid","x","y"
"0","527856.090729","-1034446.18521"
"0","497552.897922","-1037200.05255"
"0","473198.509081","-1038773.61961"
"0","453275.159187","-1036100.20552"
"0","438359.672838","-1029179.81027"
"0","433746.076007","-1027082.7208"
"0","427553.455451","-1024637.09601"
"0","421312.980362","-1022820.59807"
"0","414637.73535","-1021716.52279"
"0","411903.843027","-1021597.78568"
"0","408497.706561","-1022345.64963"
"0","405344.396344","-1023149.04413"
"0","399887.776282","-1024603.20156"
"0","392663.984201","-1024119.10559"
"0","391532.021767","-1024179.25729"
"0","390376.919535","-1024305.5667"
"0","389348.17447","-1024785.97045"
