shapeid,x,y
0,527856.0907,-1034446.185
0,497552.8979,-1037200.053
0,473198.5091,-1038773.62
0,453275.1592,-1036100.206
0,438359.6728,-1029179.81
0,433746.076,-1027082.721
0,427553.4555,-1024637.096
0,421312.9804,-1022820.598
0,414637.7354,-1021716.523
0,411903.843,-1021597.786
0,408497.7066,-1022345.65
0,405344.3963,-1023149.044
0,399887.7763,-1024603.202
0,392663.9842,-1024119.106
0,391532.0218,-1024179.257
0,390376.9195,-1024305.567
0,389348.1745,-1024785.97
